Study_Hours,Attendance,Previous_Marks,Assignment_Score,Sleep_Hours,Internet_Usage,Extra_Coaching,Pass
5,59,79,46,5,Low,1,0
3,55,35,95,5,Medium,0,0
5,43,89,35,9,Medium,1,0
5,45,73,87,7,Medium,0,0
5,97,40,98,9,Medium,1,0
3,61,95,57,4,Low,1,0
4,65,76,91,8,Low,1,0
9,42,32,70,4,Low,1,0
9,80,59,98,5,High,0,0
2,99,50,70,8,High,1,0
8,81,57,78,9,High,1,0
8,53,91,78,4,Medium,1,0
7,50,62,32,6,High,0,0
8,57,64,39,7,Medium,0,0
3,93,81,64,7,High,1,0
6,51,63,31,6,Medium,1,0
1,62,70,53,5,High,1,0
7,51,80,67,8,High,1,0
1,52,76,51,7,Low,1,0
9,64,87,55,6,High,1,0
1,84,86,72,9,High,0,0
1,90,52,84,6,Low,1,0
7,97,77,68,5,Medium,1,0
2,58,51,58,5,Low,1,0
5,94,46,49,4,Low,1,0
8,85,98,70,7,Medium,1,0
8,75,40,83,4,High,1,0
3,84,44,49,6,Medium,0,0
7,47,64,48,8,High,0,0
3,68,62,95,8,High,0,0
6,94,45,59,5,Medium,0,0
6,92,63,82,8,Low,0,0
3,94,95,63,8,Medium,0,0
7,71,69,51,8,High,1,0
3,90,57,96,6,Medium,1,0
8,83,76,35,8,Medium,1,0
4,57,68,56,9,High,1,0
1,45,99,39,8,Low,1,0
4,57,49,77,8,Medium,1,0
7,58,30,99,4,High,0,0
4,61,92,88,6,High,1,0
6,76,96,88,5,Medium,0,0
9,71,33,31,4,Low,0,0
1,95,87,58,7,Medium,1,0
5,80,54,97,6,Low,1,0
7,98,76,94,9,Low,1,0
1,42,67,55,6,Low,1,0
4,67,44,39,7,Low,1,0
6,49,92,82,7,Medium,1,0
2,90,50,88,7,High,1,0
5,74,86,51,5,High,0,0
1,68,82,80,8,High,1,0
6,93,75,77,6,High,1,0
6,54,43,50,8,High,0,0
4,72,46,51,8,High,1,0
8,46,68,59,9,Medium,1,0
4,51,38,54,7,Low,0,0
8,88,35,57,5,High,1,0
8,69,52,94,9,Medium,1,0
5,60,88,74,4,High,1,0
4,70,75,97,5,High,1,0
2,97,67,36,8,Low,1,0
3,63,43,78,5,Low,1,0
3,59,91,38,7,Low,0,0
4,76,64,65,4,High,1,0
4,43,48,30,7,High,1,0
5,67,59,39,4,High,0,0
4,83,54,65,9,Low,0,0
8,59,69,75,8,Medium,1,0
6,99,43,61,4,High,0,0
6,63,55,61,4,High,1,0
8,89,51,35,4,High,1,0
7,88,77,77,5,Medium,0,0
8,90,80,67,9,High,1,0
2,71,32,46,5,Medium,1,0
9,80,71,56,8,High,0,0
1,75,48,83,4,Medium,0,0
8,97,57,79,9,High,0,0
4,92,74,64,9,Low,0,0
4,73,92,54,6,Low,1,0
5,75,48,57,8,Low,0,0
8,41,76,44,9,Low,0,0
5,54,43,33,4,High,0,0
8,73,67,56,4,Low,0,0
1,75,82,55,9,Medium,0,0
9,45,90,48,5,Low,1,0
6,78,65,46,8,Low,0,0
3,81,69,72,4,Low,1,0
8,90,59,70,9,High,0,0
9,90,38,71,4,Low,0,0
6,97,93,79,9,Medium,0,0
7,93,62,69,8,Low,0,0
1,51,81,68,9,Low,0,0
5,42,43,52,6,Low,0,0
5,84,82,81,9,Medium,0,0
4,57,88,76,9,Low,0,0
6,79,70,92,8,Medium,1,0
7,60,97,98,9,Medium,0,0
9,54,97,72,8,Low,1,0
1,72,37,77,6,Medium,0,0
6,74,31,63,8,High,1,0
7,65,70,69,4,Low,0,0
3,47,84,90,8,Low,0,0
8,75,45,79,6,Medium,0,0
5,87,91,96,7,Medium,1,0
9,69,77,91,9,Low,1,0
5,62,59,87,8,High,1,0
9,81,41,62,9,Medium,1,0
4,83,64,45,5,Medium,0,0
9,53,40,77,4,High,0,0
5,53,93,39,4,High,0,0
9,41,79,67,5,Low,1,0
3,94,50,48,5,High,0,0
4,76,98,65,8,Low,1,0
9,44,77,88,5,High,1,0
6,77,49,92,7,Medium,1,0
2,84,96,75,9,Low,1,0
7,80,73,32,9,Low,1,0
2,93,62,94,6,Low,0,0
2,99,90,37,5,High,1,0
1,86,38,80,5,Medium,1,0
3,53,97,35,7,Low,0,0
6,95,64,68,4,Low,1,0
8,78,94,89,4,Low,1,0
9,64,37,57,9,Low,0,0
7,59,74,83,9,Medium,0,0
4,41,76,66,8,High,0,0
6,78,69,38,7,Medium,1,0
5,45,83,85,6,Low,0,0
8,56,75,88,6,Medium,0,0
1,98,76,31,7,Low,0,0
1,64,44,90,6,High,1,0
6,96,48,87,4,High,0,0
2,67,55,89,6,High,1,0
5,41,81,69,6,Low,1,0
1,74,51,65,7,Medium,0,0
7,76,50,66,7,High,1,0
1,44,80,47,6,Low,1,0
4,40,67,92,5,Low,0,0
9,79,49,51,7,Medium,1,0
1,51,58,40,8,High,0,0
4,95,80,87,8,Low,1,0
6,75,33,86,4,Medium,1,0
6,84,84,33,6,High,0,0
8,62,57,36,5,Medium,0,0
1,86,33,90,4,Medium,1,0
7,70,51,83,6,Low,1,0
1,50,74,97,7,Low,0,0
7,49,96,30,8,Low,1,0
3,42,95,84,9,Medium,1,0
8,93,63,32,5,Low,1,0
3,53,84,67,9,Medium,1,0
1,55,30,30,8,Medium,0,0
8,49,67,67,9,Low,0,0
3,68,35,58,7,High,0,0
2,49,54,34,6,High,0,0
1,51,46,50,7,High,0,0
3,69,90,96,9,Medium,0,0
2,80,41,76,7,Medium,1,0
2,40,35,64,8,Medium,0,0
6,44,56,97,5,Low,1,0
1,59,37,98,7,Medium,1,0
2,47,94,30,8,Low,1,0
6,82,86,97,5,Low,0,0
3,51,69,41,6,High,1,0
4,40,43,89,9,High,0,0
1,96,64,56,6,High,1,0
8,93,77,85,4,Low,1,0
7,59,85,52,8,Low,0,0
7,67,78,54,5,Low,1,0
3,96,42,50,7,Medium,1,0
3,82,90,90,6,Low,1,0
2,76,78,92,5,High,1,0
1,86,75,81,8,High,0,0
7,76,91,54,4,Low,1,0
7,51,37,84,6,Low,1,0
2,76,72,75,9,High,0,0
7,88,49,61,5,Low,1,0
8,88,68,84,9,High,1,0
1,95,78,34,5,Medium,1,0
9,83,93,65,5,High,1,0
7,95,91,78,8,Medium,0,0
3,67,83,87,8,Low,1,0
